Event 1 BX 0
HwTrack 1 Rinv: 000000001001101, t: 00000000000001, phi: 0001001101101111101, Z0: 10001100001, Q: 0, Sector: 01101, HwValid: 1, BX: 001
HwTrack 2 Rinv: 100000001000101, t: 11111111111001, phi: 0000011101101100010, Z0: 10001011110, Q: 1, Sector: 11011, HwValid: 1, BX: 001

Event 42 BX 1
HwTrack 1 Rinv: 000000100110010, t: 11101100110011, phi: 0000100010011110000, Z0: 10000011001, Q: 0, Sector: 01111, HwValid: 1, BX: 010
HwTrack 2 Rinv: 100000101000000, t: 00010011001011, phi: 0001010010111111001, Z0: 10000100001, Q: 1, Sector: 00001, HwValid: 1, BX: 010

Event 43 BX 10
HwTrack 1 Rinv: 000000010110111, t: 11101111011001, phi: 0000011111010110101, Z0: 00010011000, Q: 0, Sector: 11011, HwValid: 1, BX: 011
HwTrack 2 Rinv: 100000011001001, t: 00010000100111, phi: 0001001111010010110, Z0: 00010010101, Q: 1, Sector: 01101, HwValid: 1, BX: 011

Event 44 BX 11
HwTrack 1 Rinv: 000000101000100, t: 00010011000000, phi: 0001101101101000101, Z0: 00000000111, Q: 0, Sector: 11001, HwValid: 1, BX: 100
HwTrack 2 Rinv: 100000101001011, t: 11101100111101, phi: 0000111101010001011, Z0: 00000001111, Q: 1, Sector: 01100, HwValid: 1, BX: 100

Event 45 BX 100
HwTrack 1 Rinv: 000000011010001, t: 00010000100110, phi: 0001001000100000101, Z0: 00000111010, Q: 0, Sector: 01101, HwValid: 1, BX: 101
HwTrack 2 Rinv: 100000011010000, t: 11101111011000, phi: 0000011000101111100, Z0: 00001000110, Q: 1, Sector: 11011, HwValid: 1, BX: 101

Event 46 BX 101
HwTrack 1 Rinv: 000000001001000, t: 11111111010111, phi: 0000010111101110101, Z0: 00000101000, Q: 0, Sector: 01001, HwValid: 1, BX: 110
HwTrack 2 Rinv: 100000001000100, t: 00000000100010, phi: 0001000111101111101, Z0: 00000101000, Q: 1, Sector: 10110, HwValid: 1, BX: 110

Event 47 BX 110
HwTrack 1 Rinv: 000000100000001, t: 11110101010100, phi: 0001010011111101101, Z0: 10000100011, Q: 0, Sector: 01010, HwValid: 1, BX: 111
HwTrack 2 Rinv: 100000011110111, t: 00001010110000, phi: 0000100100000000010, Z0: 10000100010, Q: 1, Sector: 11000, HwValid: 1, BX: 111

Event 48 BX 111
