Event 1 BX 0
SwTrack 2 pT: 148.024, eta: -0.00195312, phi: -3.12169, sector: 14, Q: -1

Event 49 BX 0
SwTrack 1 pT: 10.6479, eta: -1.61856, phi: -1.2139, sector: 22, Q: 1
SwTrack 2 pT: 10.0775, eta: 1.63409, phi: 1.93105, sector: 9, Q: -1

Event 50 BX 1
SwTrack 1 pT: 24.7382, eta: 0.653626, phi: 0.227337, sector: 1, Q: 1
SwTrack 2 pT: 24.7382, eta: -0.652027, phi: -2.91354, sector: 15, Q: -1

Event 51 BX 10
SwTrack 1 pT: 81.3466, eta: 0.565137, phi: 0.951371, sector: 5, Q: 1
SwTrack 2 pT: 78.5167, eta: -0.565137, phi: -2.19027, sector: 18, Q: -1

Event 52 BX 11
SwTrack 1 pT: 148.024, eta: 0.159479, phi: 1.20949, sector: 6, Q: 1
SwTrack 2 pT: 155.68, eta: -0.161407, phi: -1.932, sector: 19, Q: -1

Event 53 BX 100
SwTrack 1 pT: 132.786, eta: 0.825038, phi: -0.51207, sector: 25, Q: 1
SwTrack 2 pT: 145.636, eta: -0.826474, phi: 2.62982, sector: 12, Q: -1

Event 54 BX 101
SwTrack 1 pT: 3.39453, eta: 0.199839, phi: -0.0623914, sector: 27, Q: 1
SwTrack 2 pT: 3.42674, eta: -0.197924, phi: -3.20517, sector: 14, Q: -1

Event 55 BX 110
SwTrack 1 pT: 0, eta: 0, phi: 0, sector: 0, Q: 0
SwTrack 2 pT: 0, eta: 0, phi: 0, sector: 0, Q: 0

Event 56 BX 111
SwTrack 1 pT: 45.8347, eta: -0.0994454, phi: 0.090538, sector: 1, Q: 1
SwTrack 2 pT: 48.5453, eta: 0.0975016, phi: -3.05128, sector: 14, Q: -1

Event 57 BX 0
SwTrack 1 pT: 16.3874, eta: 1.97852, phi: 2.54526, sector: 11, Q: 1
SwTrack 2 pT: 15.9531, eta: -1.98169, phi: -0.594181, sector: 25, Q: -1

Event 58 BX 1
SwTrack 1 pT: 12.5409, eta: -2.09424, phi: 1.56387, sector: 7, Q: 1
SwTrack 2 pT: 12.202, eta: 2.09092, phi: -1.57585, sector: 21, Q: -1

Event 59 BX 10
SwTrack 1 pT: 10.7366, eta: 2.31091, phi: -1.06611, sector: 23, Q: 1
SwTrack 2 pT: 10.0105, eta: -2.31282, phi: 2.07647, sector: 9, Q: -1

Event 60 BX 11
SwTrack 1 pT: 54.3942, eta: -1.95764, phi: -2.68525, sector: 16, Q: 1
SwTrack 2 pT: 51.5968, eta: 1.9495, phi: 0.457335, sector: 2, Q: -1

Event 61 BX 100
SwTrack 1 pT: 14.4935, eta: -2.3687, phi: -1.61455, sector: 21, Q: 1
SwTrack 2 pT: 14.0646, eta: 2.3647, phi: 1.52721, sector: 7, Q: -1

Event 62 BX 101
SwTrack 1 pT: 112.868, eta: 0.71642, phi: -0.698373, sector: 24, Q: 1
SwTrack 2 pT: 118.809, eta: -0.708699, phi: 2.44328, sector: 11, Q: -1

Event 63 BX 110
SwTrack 1 pT: 34.8627, eta: 0.995305, phi: -2.636, sector: 16, Q: 1
SwTrack 2 pT: 35.549, eta: -1.00795, phi: 0.505906, sector: 3, Q: -1

Event 64 BX 111
SwTrack 1 pT: 15.3301, eta: 1.78901, phi: -2.42254, sector: 17, Q: 1
SwTrack 2 pT: 14.682, eta: -1.79028, phi: 0.719522, sector: 4, Q: -1

Event 65 BX 0
SwTrack 1 pT: 25.5792, eta: 2.12229, phi: 1.75559, sector: 8, Q: 1
SwTrack 2 pT: 29.2215, eta: -2.13193, phi: -1.38561, sector: 22, Q: -1

Event 66 BX 1
