Event 1 BX 0
SwMuon 1 pT: 69.5, eta: -0.10875, phi: 0.032725, Q: 1
SwMuon 2 pT: 51, eta: 0.10875, phi: -2.99978, Q: -1

Event 57 BX 0
SwMuon 1 pT: 50, eta: 1.97925, phi: 2.47619, Q: 1
SwMuon 2 pT: 19, eta: -1.99012, phi: -0.523599, Q: -1

Event 58 BX 1
SwMuon 1 pT: 11.5, eta: -2.088, phi: 1.47262, Q: 1
SwMuon 2 pT: 10.5, eta: 2.12063, phi: -1.52716, Q: -1

Event 59 BX 10
SwMuon 1 pT: 11.5, eta: 2.32725, phi: -1.16719, Q: 1
SwMuon 2 pT: 14, eta: -2.31638, phi: 2.14894, Q: -1

Event 60 BX 11
SwMuon 1 pT: 58, eta: -1.9575, phi: -2.71617, Q: 1
SwMuon 2 pT: 97.5, eta: 1.94662, phi: 0.469057, Q: -1

Event 61 BX 100
SwMuon 1 pT: 11.5, eta: -2.37075, phi: -1.67988, Q: 1
SwMuon 2 pT: 25.5, eta: 2.35987, phi: 1.55989, Q: -1

Event 62 BX 101
SwMuon 1 pT: 140, eta: 0.685125, phi: -0.730856, Q: 1
SwMuon 2 pT: 140, eta: -0.728625, phi: 2.45437, Q: -1

Event 63 BX 110
SwMuon 1 pT: 40.5, eta: 0.97875, phi: -2.70526, Q: 1
SwMuon 2 pT: 40.5, eta: -0.97875, phi: 0.567232, Q: -1

Event 64 BX 111
SwMuon 1 pT: 25.5, eta: 1.79437, phi: -2.51982, Q: 1
SwMuon 2 pT: 14, eta: -1.80525, phi: 0.807215, Q: -1

Event 65 BX 0
SwMuon 1 pT: 46, eta: 2.12063, phi: 1.7126, Q: 1
SwMuon 2 pT: 11.5, eta: -2.1315, phi: -1.36354, Q: -1

Event 66 BX 1
SwMuon 1 pT: 15.5, eta: 1.76175, phi: -1.79987, Q: 1
SwMuon 2 pT: 14, eta: -1.77262, phi: 1.5817, Q: -1

Event 67 BX 10
SwMuon 1 pT: 11, eta: -2.19675, phi: 1.77805, Q: 1
SwMuon 2 pT: 12, eta: 2.18587, phi: -1.23264, Q: -1

Event 68 BX 11
SwMuon 1 pT: 140, eta: -0.641625, phi: -0.130899, Q: 1
SwMuon 2 pT: 140, eta: 0.641625, phi: 3.04342, Q: -1

Event 69 BX 100
SwMuon 1 pT: 30.5, eta: 1.19625, phi: -2.20348, Q: 1
