Begin processing the 1st record. Run 1, Event 2, LumiSection 1 at 24-May-2018 22:20:31.849 CEST
Begin processing the 94th record. Run 1, Event 96, LumiSection 1 at 24-May-2018 22:20:31.877 CEST
Empty1 0 0 0 0   
Empty2 0 0 0 0   
Begin processing the 95th record. Run 1, Event 95, LumiSection 1 at 24-May-2018 22:20:31.877 CEST
MuonB1 81.500000 0.609000 0.436332 1.000000
MuonB2 89.500000 -0.554625 3.643375 -1.000000
Begin processing the 96th record. Run 1, Event 94, LumiSection 1 at 24-May-2018 22:20:31.877 CEST
MuonB1 60.500000 0.413250 0.163625 1.000000
MuonB2 62.500000 -0.424125 3.392484 -1.000000
Begin processing the 97th record. Run 1, Event 97, LumiSection 1 at 24-May-2018 22:20:31.877 CEST
MuonE1 5.000000 1.544250 2.138028 1.000000
MuonE2 4.500000 -1.587750 0.207258 -1.000000
Begin processing the 98th record. Run 1, Event 99, LumiSection 1 at 24-May-2018 22:20:31.878 CEST
Empty1 0 0 0 0   
Empty2 0 0 0 0   
Begin processing the 99th record. Run 1, Event 100, LumiSection 1 at 24-May-2018 22:20:31.878 CEST
MuonB1 21.000000 -0.054375 0.970839 1.000000
MuonB2 18.000000 0.054375 4.406956 -1.000000
Begin processing the 100th record. Run 1, Event 98, LumiSection 1 at 24-May-2018 22:20:31.878 CEST
MuonE1 25.000000 1.740000 0.523599 1.000000
MuonE2 31.000000 -1.729125 3.828816 -1.000000
