BX= 100 event= 61 seed= CT_L3L4 phisector= 8
00 9.46902e-05 0.0880003 1.01953 -1.05469 000000000 001000000 000000001|001000000|000000000|001000000
BX= 100 event= 61 seed= CT_L3L4 phisector= 21
00 -9.09026e-05 0.204143 -1.03125 -0.761719 010000000 010000000 010000000|010000000|010000111|111111111
BX= 101 event= 62 seed= CT_D1D2 phisector= 10
00 0.00313866 0.156253 3.84766 -6.85547 000000000 000000000 111111111|000000000|000000000|000000000
BX= 101 event= 62 seed= CT_D1L1 phisector= 24
00 -0.00324219 0.0451246 -3.82617 -8.08594 000000000 000000000 111111111|111111111|001000000|001000000
BX= 110 event= 63 seed= CT_L1L2 phisector= 5
00 9.46902e-05 0.180981 0.800781 3.10547 001000000 010000000 001000000|010000000|001000000|010000000
BX= 110 event= 63 seed= CT_L1L2 phisector= 19
00 -8.964e-05 0.0646071 -0.802734 3.16406 000000001 000000000 000000000|000000000|000000000|000000000
BX= 000 event= 65 seed= CT_L1L2 phisector= 8
00 -0.000112366 0.0747437 0.699219 8.96484 000000000 001000000 000000000|001000000|000000000|111111111
BX= 000 event= 65 seed= CT_L1L2 phisector= 21
00 0.000127516 0.190379 -0.705078 8.84766 001000000 010000000 001000000|010000000|001000000|010000000
BX= 010 event= 67 seed= CT_L1L2 phisector= 10
00 6.56519e-05 0.19848 -0.0351562 -3.22266 010000000 010000000 010000000|010000000|010000001|010000000
BX= 010 event= 67 seed= CT_L1L2 phisector= 24
00 -6.81769e-05 0.0819401 0.0253906 -3.28125 000000000 001000000 000000000|001000000|000000000|001000000
BX= 100 event= 69 seed= CT_D1D2 phisector= 12
00 0.000292908 0.207689 -4.17188 1.58203 010000000 010000000 111111111|111111111|111111111|111111111
BX= 100 event= 69 seed= CT_D1L1 phisector= 26
00 -0.000275233 0.0918305 4.15039 3.45703 000000000 000000000 000000000|000000000|000000000|000000000
BX= 101 event= 70 seed= CT_L3L4 phisector= 5
00 -9.09026e-05 0.251838 -0.960938 3.10547 010000000 011000000 010000000|011000000|010000000|011000000
BX= 101 event= 70 seed= CT_L1L2 phisector= 19
00 9.46902e-05 0.134938 0.960938 2.92969 001000000 001000000 001000000|001000000|001000000|001000000
BX= 110 event= 71 seed= CT_L1L2 phisector= 3
00 -0.000162867 0.233241 2.25 3.33984 010000000 011000000 010000000|010000000|010000000|010000000
BX= 110 event= 71 seed= CT_L1L2 phisector= 17
00 0.00016413 0.116994 -2.23633 3.28125 000000000 001000000 000000000|000000000|000000000|000000000
BX= 111 event= 72 seed= CT_L1L2 phisector= 4
00 -0.000140141 0.0579314 1.55664 -4.27734 000000001 000000000 000000000|000000000|000000000|000000000
BX= 111 event= 72 seed= CT_L3L4 phisector= 17
00 0.000148979 0.174945 -1.55078 -4.04297 001000000 010000000 001000000|010000000|111111111|001000000
BX= 000 event= 73 seed= CT_L1L2 phisector= 5
00 -8.33274e-05 0.242535 0.386719 1.23047 010000001 011000000 010000000|011000000|010000000|011000000
BX= 000 event= 73 seed= CT_L1L2 phisector= 19
00 8.7115e-05 0.126042 -0.380859 0.996094 001000000 001000000 001000000|001000000|001000000|001000000
BX= 001 event= 74 seed= CT_L1L2 phisector= 5
00 0.000150242 0.131231 1.99023 0.703125 001000000 001000000 001000000|001000000|001000000|001000000
BX= 001 event= 74 seed= CT_L1L2 phisector= 18
00 -0.000178018 0.248169 -1.98633 0.820312 010000000 011000000 010000000|010000000|010000000|010000001
01 -0.00178144 0.241427 -1.98438 0.820312 010000100 111000000 000000000|000000000|000000001|000000000
BX= 010 event= 75 seed= CT_L1L2 phisector= 5
00 -8.964e-05 0.168406 -1.04102 -5.625 001000001 010000000 001000000|010000000|001000000|111111111
BX= 010 event= 75 seed= CT_L1L2 phisector= 19
00 9.46902e-05 0.0521127 1.04297 -5.74219 000000000 000000000 000000000|000000000|000000000|000000000
BX= 011 event= 76 seed= CT_L1L2 phisector= 1
00 -0.00222333 0.0265559 2.13086 2.46094 000000000 000000000 000000000|001000000|000000000|000000000
BX= 011 event= 76 seed= CT_D1L2 phisector= 1
00 -0.00222333 0.0263996 2.15625 1.23047 000000001 000000000 111111111|111111111|111111111|111111111
BX= 011 event= 76 seed= CT_L1L2 phisector= 14
00 0.00218797 0.140956 -2.12305 2.16797 000000000 001000000 000000000|000000000|000000000|000000000
BX= 011 event= 76 seed= CT_D1L2 phisector= 14
00 0.00216399 0.140331 -2.10547 1.23047 000000001 001000001 111111111|111111111|111111111|111111111
BX= 110 event= 79 seed= CT_L1L2 phisector= 5
00 7.57521e-05 0.216391 0.738281 6.21094 010000000 010000000 010000000|010000000|010000000|010000000
BX= 110 event= 79 seed= CT_L1L2 phisector= 19
00 -7.44896e-05 0.0998697 -0.734375 6.32812 000000000 001000000 000000000|001000000|000000000|111111111
BX= 111 event= 80 seed= CT_L1L2 phisector= 1
00 -0.000146454 0.116961 -1.50195 -1.99219 001000000 001000000 001000000|111111111|001000000|001000000
BX= 111 event= 80 seed= CT_L1L2 phisector= 14
00 0.000159079 0.233283 1.49414 -1.875 010000000 010000000 010000000|111111111|010000000|111111111
BX= 000 event= 81 seed= CT_L1L2 phisector= 3
00 -0.00052269 0.125905 0.708984 5.09766 001000000 001000000 001000000|001000000|001000000|010000000
BX= 000 event= 81 seed= CT_L1L2 phisector= 16
00 0.000526477 0.242246 -0.708984 5.15625 010000000 011000000 010000000|010000000|010000000|010000100
BX= 001 event= 82 seed= CT_L1L2 phisector= 13
00 -0.00136228 0.141273 -0.00195312 -4.80469 001000000 010000000 001000000|010000000|010000000|010000000
BX= 001 event= 82 seed= CT_L1L2 phisector= 26
00 0.00137364 0.257022 -0.00390625 -4.92188 010000000 011000000 010000000|010000000|010000000|010000001
BX= 011 event= 84 seed= CT_L1L2 phisector= 4
00 -9.09026e-05 0.138901 1.05664 8.20312 001000000 001000000 001000000|001000000|001000000|111111111
BX= 011 event= 84 seed= CT_L1L2 phisector= 17
00 0.00010479 0.25519 -1.06055 8.14453 010000001 011000000 010000000|011000000|010000000|011000000
BX= 100 event= 85 seed= CT_D1D2 phisector= 8
00 -0.00121961 0.0931704 -4.84961 1.81641 000000000 000000000 111111111|111111111|111111111|111111111
BX= 100 event= 85 seed= CT_D1D2 phisector= 21
00 0.00122466 0.20936 4.84375 2.63672 001000000 001000000 111111111|001000000|001000000|001000000
BX= 101 event= 86 seed= CT_D1D2 phisector= 2
00 0.00165897 0.169065 -2.78125 3.16406 001000001 001000000 111111111|111111111|111111111|111111111
BX= 101 event= 86 seed= CT_D1D2 phisector= 16
00 -0.0016817 0.0532869 2.85547 0.761719 000000000 000000000 111111111|000000001|001000000|001000000
BX= 110 event= 87 seed= CT_L1L2 phisector= 12
00 -7.82772e-05 0.0460857 -0.0136719 -6.5625 000000000 000000000 000000000|000000000|000000000|000000000
BX= 110 event= 87 seed= CT_L1L2 phisector= 25
00 7.95397e-05 0.162668 0.00585938 -6.62109 001000000 010000000 001000000|010000000|001000000|010000000
BX= 111 event= 88 seed= CT_L1L2 phisector= 3
00 0.000133829 0.221996 1.23047 0.996094 010000000 010000000 010000000|010000000|010000000|111111111
BX= 111 event= 88 seed= CT_L1L2 phisector= 17
00 -0.000119941 0.105461 -1.23828 1.05469 000000001 001000000 000000000|001000000|000000000|000000000
BX= 001 event= 90 seed= CT_D1D2 phisector= 5
00 0.000892613 0.197865 3.94922 -0.292969 001000000 001000000 111111111|001000000|001000000|001000000
BX= 001 event= 90 seed= CT_D1D2 phisector= 19
00 -0.000924176 0.0810832 -3.96875 0.117188 000000000 000000000 111111111|111111111|111111111|111111111
BX= 010 event= 91 seed= CT_L1L2 phisector= 12
00 -0.00371438 0.0547499 -1.62695 2.63672 000000000 001000000 001000000|010000000|111111111|010000000
BX= 010 event= 91 seed= CT_L1L2 phisector= 25
00 0.00362474 0.175513 1.62305 2.22656 001000000 001000000 000000000|000000000|010000001|010000000
BX= 011 event= 92 seed= CT_D1D2 phisector= 11
00 0.000864837 0.145103 4.96094 1.17188 001000000 001000000 111111111|001000000|001000000|001000000
BX= 011 event= 92 seed= CT_D1D2 phisector= 25
00 -0.000830748 0.0301683 -4.99219 0.761719 000000000 000000000 111111111|111111111|111111111|111111111
BX= 100 event= 93 seed= CT_L3L4 phisector= 3
00 -0.000108578 0.0993111 1.63281 0.9375 000000000 001000000 000000000|001000000|000000000|000000000
BX= 100 event= 93 seed= CT_L1L2 phisector= 16
00 0.000113628 0.215297 -1.63281 0.820312 010000000 010000000 010000001|010000000|010000000|010000000
BX= 110 event= 95 seed= CT_L1L2 phisector= 3
00 0.000140141 0.0467249 0.599609 9.90234 000000000 000000000 000000000|000000000|000000000|000000000
BX= 110 event= 95 seed= CT_L1L2 phisector= 16
00 -0.000135091 0.163241 -0.599609 9.78516 001000000 010000000 001000000|010000000|001000000|010000000
BX= 111 event= 96 seed= CT_L1L2 phisector= 1
00 0.000213369 0.257003 0.421875 8.67188 010000000 011000000 010000000|011000000|010000000|011000000
BX= 111 event= 96 seed= CT_L1L2 phisector= 15
00 -0.000212106 0.140487 -0.429688 8.78906 001000000 001000000 001000000|001000000|001000000|001000000
BX= 000 event= 97 seed= CT_L1L2 phisector= 12
00 0.00345935 0.241252 2.14258 2.05078 010000000 010000000 001000000|000000000|001000000|001000000
BX= 000 event= 97 seed= CT_L1L2 phisector= 26
00 -0.00351869 0.12778 -2.15625 1.52344 001000000 010000000 010000000|000000000|010000000|010000000
BX= 000 event= 97 seed= CT_D1L2 phisector= 26
00 -0.00350985 0.12787 -2.13281 0.703125 010000001 010000000 111111111|111111111|111111111|111111111
BX= 010 event= 99 seed= CT_L1L2 phisector= 5
00 0.000642631 0.229841 -0.0585938 6.79688 010000000 010000000 010000000|010000000|010000000|010000000
BX= 010 event= 99 seed= CT_L1L2 phisector= 19
00 -0.000628743 0.114206 0.0507812 6.97266 001000000 001000000 001000000|001000000|001000000|001000000
BX= 011 event= 100 seed= CT_L1L2 phisector= 3
00 0.00072217 0.1818 2.75586 7.5 001000000 010000000 111111111|001000000|001000000|001000001
BX= 011 event= 100 seed= CT_L1L2 phisector= 17
00 -0.000725958 0.064858 -2.73633 7.5 000000000 001000000 000000001|000000000|000000000|111111111
